word,concreteness,imageability,familiarity,age_of_acquisition,freq_zh,log_freq_zh,freq_mn
水管道,NA,NA,NA,NA,NA,NA,1
海马,1.689655,NA,NA,NA,8,14314,1
雪糕,1.115385,NA,NA,NA,176,17709,2
走路廊,NA,NA,NA,NA,NA,NA,1
水果粥,NA,NA,NA,NA,NA,NA,1
小便池,NA,NA,NA,NA,NA,NA,10
民间,NA,6.846 ,4.864 ,3.200 ,307,20128,1
通粉,NA,NA,NA,NA,NA,NA,1
烧烤炉,NA,NA,NA,NA,NA,NA,11
僧袍,NA,NA,NA,NA,NA,NA,1
舞台,1.84,5.000 ,6.045 ,1.500 ,5697,32813,2
篷顶,NA,NA,NA,NA,NA,NA,1
接球手,NA,NA,NA,NA,NA,NA,6
花坛,NA,NA,NA,NA,24,9031,1
太阳花,NA,NA,NA,NA,NA,NA,4
盆,NA,NA,NA,NA,629,23243,15
床上桌,NA,NA,NA,NA,NA,NA,2
夹心,2.84,NA,NA,NA,191,18062,2
面具,2.086957,NA,NA,NA,1994,28254,3
事故,2.129032,4.545 ,6.955 ,2.692 ,4284,31575,1
起重车,NA,NA,NA,NA,NA,NA,1
车脸,NA,NA,NA,NA,NA,NA,1
女网运动员,NA,NA,NA,NA,NA,NA,2
头盔冲浪者,NA,NA,NA,NA,NA,NA,1
麻雀,1.153846,5.500 ,5.409 ,2.267 ,176,17709,1
女士们,NA,NA,NA,NA,NA,NA,2
飞盘,NA,NA,NA,NA,NA,NA,4
甜甜圈女人,NA,NA,NA,NA,NA,NA,1
安全装,NA,NA,NA,NA,NA,NA,1
旅行车,NA,NA,NA,NA,212,18513,6
乒乓桌,NA,NA,NA,NA,NA,NA,2
船夫,NA,NA,NA,NA,48,12041,1
架子床,NA,NA,NA,NA,NA,NA,1
游戏,NA,4.700 ,6.182 ,1.455 ,17087,37583,1
酒醉,NA,NA,NA,NA,NA,NA,2
鸟,NA,NA,NA,NA,9,4771,387
照片点击,NA,NA,NA,NA,NA,NA,1
汽车尾部,NA,NA,NA,NA,NA,NA,1
数,NA,NA,NA,NA,8069,34325,1
装饰狗,NA,NA,NA,NA,NA,NA,1
少考,NA,NA,NA,NA,NA,NA,1
爸爸,NA,5.000 ,6.818 ,1.308 ,65372,4341,1
玫瑰,1.25,NA,NA,NA,1753,27694,7
车前盖,NA,NA,NA,NA,NA,NA,7
手套,NA,6.333 ,6.000 ,1.417 ,2015,28299,28
木船,1.153846,NA,NA,NA,15,699,2
店铺,1.851852,NA,NA,NA,361,20828,30
开会,1.875,3.600 ,6.091 ,2.571 ,1708,27582,1
背心,1.916667,5.462 ,4.727 ,2.667 ,411,21399,19
放风筝的女孩,NA,NA,NA,NA,NA,NA,1
小熊,NA,NA,NA,NA,8,14314,7
篷子,NA,NA,NA,NA,NA,NA,2
平躺,NA,NA,NA,NA,57,12788,1
洗手台,NA,NA,NA,NA,NA,NA,1
蛋饼,NA,NA,NA,NA,NA,NA,3
鸡蛋黄,NA,NA,NA,NA,NA,NA,1
游戏杆,NA,NA,NA,NA,NA,NA,1
垃圾,2.259259,5.308 ,5.952 ,1.933 ,7408,33953,3
运动的,NA,NA,NA,NA,NA,NA,1
厨具,NA,NA,NA,NA,63,13222,2
餐食,NA,NA,NA,NA,NA,NA,2
蝙蝠,1.521739,NA,NA,NA,1338,26522,1
座位,1.538462,5.556 ,5.524 ,1.333 ,265,29489,11
比萨比萨,NA,NA,NA,NA,NA,NA,2
滑雪教练,NA,NA,NA,NA,NA,NA,1
猪排,NA,NA,NA,NA,274,19638,1
棒球手套,NA,NA,NA,NA,NA,NA,3
烤架,NA,NA,NA,NA,NA,NA,16
网袜,NA,NA,NA,NA,NA,NA,1
饮料,NA,NA,NA,NA,2808,29741,6
天主教大教堂,NA,NA,NA,NA,NA,NA,1
水鸟,NA,NA,NA,NA,NA,NA,2
轮胎,1.304348,NA,NA,NA,1556,27177,5
办公台,NA,NA,NA,NA,NA,NA,1
壁橱,NA,NA,NA,NA,668,23502,1
门面房,NA,NA,NA,NA,NA,NA,1
斯卡特,NA,NA,NA,NA,21,8451,1
肉丸,2.045455,NA,NA,NA,277,19685,1
床垫,1.2,NA,NA,NA,423,21523,4
魔方,NA,NA,NA,NA,92,14914,2
手掌,1.346154,NA,NA,NA,385,21106,1
甜粉,NA,NA,NA,NA,NA,NA,1
红袍,NA,NA,NA,NA,NA,NA,3
杂物堆放处,NA,NA,NA,NA,NA,NA,1
滑板运动员,NA,NA,NA,NA,NA,NA,2
棒球盔,NA,NA,NA,NA,NA,NA,1
恤衫,NA,NA,NA,NA,149,1699,1
背心裙,NA,NA,NA,NA,NA,NA,1
智能手机女士,NA,NA,NA,NA,NA,NA,1
大人,2.555556,5.231 ,5.591 ,1.867 ,8299,34447,9
武器,2,5.357 ,5.810 ,3.000 ,10892,35628,1
瓶,NA,NA,NA,NA,5929,32986,2
床铺,NA,6.333 ,5.136 ,1.857 ,152,17076,3
仓库,1.434783,4.500 ,5.429 ,2.100 ,2119,28519,3
乘客,1.653846,5.778 ,5.636 ,1.667 ,1857,27945,1
体恤衫,NA,NA,NA,NA,27,9542,4
狗,NA,NA,NA,NA,35199,40722,527
袍子,1.914286,NA,NA,NA,224,18751,4
狗熊,NA,NA,NA,NA,173,17634,4
球棒,NA,NA,NA,NA,NA,NA,1
